Date, Open, High, Low, Close, Volume
02/10/22, 174.14, 175.48, 171.55, 172.12, 90865906
02/09/22, 176.05, 176.65, 174.90, 176.28, 71285039
02/08/22, 171.73, 175.35, 171.43, 174.83, 74829219
02/07/22, 172.86, 173.9458, 170.95, 171.66, 77251203
02/04/22, 171.68, 174.10, 170.68, 172.39, 82465398
02/03/22, 174.48, 176.2399, 172.12, 172.90, 89418070
02/02/22, 174.745, 175.88, 173.33, 175.84, 84914258
02/01/22, 174.01, 174.84, 172.31, 174.61, 86213914
01/31/22, 170.16, 175.00, 169.51, 174.78, 115541602
01/28/22, 165.71, 170.35, 162.80, 170.33, 179935703
01/27/22, 162.45, 163.84, 158.28, 159.22, 121954602
01/26/22, 163.50, 164.3894, 157.82, 159.69, 108275297
01/25/22, 158.98, 162.76, 157.02, 159.78, 115798398
01/24/22, 160.02, 162.30, 154.70, 161.62, 162706703
01/21/22, 164.415, 166.33, 162.30, 162.41, 122848898
01/20/22, 166.98, 169.68, 164.18, 164.51, 91420523
01/19/22, 170.00, 171.08, 165.94, 166.23, 94814992
01/18/22, 171.51, 172.54, 169.405, 169.80, 91168727
01/14/22, 171.34, 173.78, 171.09, 173.07, 80440781
01/13/22, 175.78, 176.62, 171.79, 172.19, 84505758
01/12/22, 176.12, 177.18, 174.82, 175.53, 74805172
01/11/22, 172.32, 175.18, 170.82, 175.08, 76138312
01/10/22, 169.08, 172.50, 168.17, 172.19, 106765602
01/07/22, 172.89, 174.14, 171.03, 172.17, 86709148
01/06/22, 172.70, 175.30, 171.64, 172.00, 96903961
01/05/22, 179.61, 180.17, 174.64, 174.92, 94537602
01/04/22, 182.63, 182.94, 179.12, 179.70, 99310438
01/03/22, 177.83, 182.88, 177.71, 182.01, 104701203
12/31/21, 178.085, 179.23, 177.26, 177.57, 64062262
12/30/21, 179.47, 180.57, 178.09, 178.20, 59773008
12/29/21, 179.33, 180.63, 178.14, 179.38, 62348930
12/28/21, 180.16, 181.33, 178.53, 179.29, 79144336
12/27/21, 177.085, 180.42, 177.07, 180.33, 74919586
12/23/21, 175.85, 176.8499, 175.27, 176.28, 68356570
12/22/21, 173.04, 175.86, 172.15, 175.64, 92135297
12/21/21, 171.555, 173.20, 169.12, 172.99, 91185914
12/20/21, 168.28, 170.58, 167.46, 169.75, 107499102
12/17/21, 169.93, 173.47, 169.69, 171.14, 195923391
12/16/21, 179.28, 181.14, 170.75, 172.26, 150185797
12/15/21, 175.11, 179.50, 172.3108, 179.30, 131063297
12/14/21, 175.25, 177.74, 172.21, 174.33, 139380406
12/13/21, 181.115, 182.13, 175.53, 175.74, 153236984
12/10/21, 175.205, 179.63, 174.69, 179.45, 115402703
12/09/21, 174.91, 176.75, 173.92, 174.56, 108923695
12/08/21, 172.125, 175.96, 170.70, 175.08, 116998898
12/07/21, 169.08, 171.58, 168.34, 171.18, 120405398
12/06/21, 164.29, 167.8799, 164.28, 165.32, 107497000
12/03/21, 164.02, 164.96, 159.72, 161.84, 118023102
12/02/21, 158.735, 164.20, 157.80, 163.76, 136739203
12/01/21, 167.48, 170.30, 164.53, 164.77, 152423016
11/30/21, 159.985, 165.52, 159.92, 165.30, 174048094
11/29/21, 159.37, 161.19, 158.7901, 160.24, 88748227
11/26/21, 159.565, 160.45, 156.36, 156.81, 76959750
11/24/21, 160.75, 162.14, 159.64, 161.94, 69463617
11/23/21, 161.12, 161.80, 159.0601, 161.41, 96041906
11/22/21, 161.68, 165.70, 161.00, 161.02, 117467906
11/19/21, 157.65, 161.02, 156.5328, 160.55, 117305602
11/18/21, 153.71, 158.67, 153.05, 157.87, 137827703
11/17/21, 150.995, 155.00, 150.99, 153.49, 88807000
11/16/21, 149.94, 151.488, 149.34, 151.00, 59256207
11/15/21, 150.37, 151.88, 149.43, 150.00, 59222801
11/12/21, 148.43, 150.40, 147.48, 149.99, 63804008
11/11/21, 148.96, 149.43, 147.681, 147.87, 40999953
11/10/21, 150.02, 150.13, 147.85, 147.92, 65187090
11/09/21, 150.20, 151.428, 150.0601, 150.81, 56787930
11/08/21, 151.41, 151.57, 150.16, 150.44, 55020871
11/05/21, 151.89, 152.20, 150.06, 151.28, 65463879
11/04/21, 151.58, 152.43, 150.64, 150.96, 60394621
11/03/21, 150.39, 151.97, 149.82, 151.49, 54511527
11/02/21, 148.66, 151.57, 148.65, 150.02, 69121992
11/01/21, 148.985, 149.70, 147.80, 148.96, 74588258
10/29/21, 147.215, 149.94, 146.4128, 149.80, 124953203
10/28/21, 149.82, 153.165, 149.72, 152.57, 100077906
10/27/21, 149.36, 149.73, 148.49, 148.85, 56094930
10/26/21, 149.33, 150.84, 149.0101, 149.32, 60893398
10/25/21, 148.68, 149.37, 147.6211, 148.64, 50720559
10/22/21, 149.69, 150.18, 148.64, 148.69, 58883441
10/21/21, 148.81, 149.64, 147.87, 149.48, 61420992
10/20/21, 148.70, 149.7539, 148.12, 149.26, 58418793
10/19/21, 147.01, 149.17, 146.55, 148.76, 76378891
10/18/21, 143.445, 146.84, 143.16, 146.55, 85589188
10/15/21, 143.77, 144.895, 143.51, 144.84, 67940328
10/14/21, 142.11, 143.88, 141.51, 143.76, 69907102
10/13/21, 141.235, 141.40, 139.20, 140.91, 78762719
10/12/21, 143.23, 143.25, 141.0401, 141.51, 73035859
10/11/21, 142.27, 144.81, 141.81, 142.81, 64452219
10/08/21, 144.03, 144.1781, 142.56, 142.90, 58773160
10/07/21, 143.06, 144.215, 142.72, 143.29, 61732660
10/06/21, 139.47, 142.15, 138.37, 142.00, 83221117
10/05/21, 139.49, 142.24, 139.36, 141.11, 80861055
10/04/21, 141.76, 142.21, 138.27, 139.14, 98322008
10/01/21, 141.90, 142.92, 139.1101, 142.65, 94639586
09/30/21, 143.66, 144.378, 141.28, 141.50, 89056656
09/29/21, 142.47, 144.45, 142.03, 142.83, 74602039
09/28/21, 143.25, 144.75, 141.69, 141.91, 108972305
09/27/21, 145.47, 145.96, 143.82, 145.37, 74150727
09/24/21, 145.66, 147.4701, 145.56, 146.92, 53477871
09/23/21, 146.65, 147.08, 145.64, 146.83, 64838168
09/22/21, 144.45, 146.43, 143.7001, 145.85, 76404336
09/21/21, 143.93, 144.60, 142.78, 143.43, 75833961
09/20/21, 143.80, 144.84, 141.27, 142.94, 123478898
09/17/21, 148.82, 148.82, 145.76, 146.06, 129868797
09/16/21, 148.44, 148.97, 147.221, 148.79, 68034148
